01-016-00436,,,Xã Đông Xuân,,Failure
01-016-00439,,,Xã Kim Lũ,,Failure
01-016-00442,,,Xã Phú Cường,,Failure
01-016-00445,,,Xã Phú Minh,,Failure
01-016-00448,,,Xã Phù Lỗ,,Failure
01-016-00451,,,Xã Xuân Thu,,Failure
01-017-00000,,Huyện Đông Anh,,7114815,Success
01-017-00454,,,Thị trấn Đông Anh,,Failure
01-017-00457,,,Xã Xuân Nộn,,Failure
01-017-00460,,,Xã Thuỵ Lâm,,Failure
01-017-00463,,,Xã Bắc Hồng,,Failure
01-017-00466,,,Xã Nguyên Khê,,Failure
01-017-00469,,,Xã Nam Hồng,,Failure
01-017-00472,,,Xã Tiên Dương,,Failure
01-017-00475,,,Xã Vân Hà,,Failure
01-017-00478,,,Xã Uy Nỗ,,Failure
01-017-00481,,,Xã Vân Nội,,Failure
01-017-00484,,,Xã Liên Hà,,Failure
01-017-00487,,,Xã Việt Hùng,,Failure
01-017-00490,,,Xã Kim Nỗ,,Failure
01-017-00493,,,Xã Kim Chung,,Failure
01-017-00496,,,Xã Dục Tú,,Failure
01-017-00499,,,Xã Đại Mạch,,Failure
01-017-00502,,,Xã Vĩnh Ngọc,,Failure
01-017-00505,,,Xã Cổ Loa,,Failure
01-017-00508,,,Xã Hải Bối,,Failure
01-017-00511,,,Xã Xuân Canh,,Failure
01-017-00514,,,Xã Võng La,,Failure
01-017-00517,,,Xã Tàm Xá,,Failure
01-017-00520,,,Xã Mai Lâm,,Failure
01-017-00523,,,Xã Đông Hội,,Failure
01-018-00000,,Huyện Gia Lâm,,7115759,Success
01-018-00526,,,Thị trấn Yên Viên,9190294,Success
01-018-00529,,,Xã Yên Thường,14227506,Success
01-018-00532,,,Xã Yên Viên,14227507,Success
01-018-00535,,,Xã Ninh Hiệp,14227508,Success
01-018-00538,,,Xã Đình Xuyên,14227510,Success
01-018-00541,,,Xã Dương Hà,14227509,Success
01-018-00544,,,Xã Phù Đổng,14227511,Success
01-018-00547,,,Xã Trung Mầu,13825509,Success
01-018-00550,,,Xã Lệ Chi,13825508,Success
01-018-00553,,,Xã Cổ Bi,13817538,Success
01-018-00556,,,Xã Đặng Xá,14227514,Success
01-018-00559,,,Xã Phú Thị,14227513,Success
01-018-00562,,,Xã Kim Sơn,14227512,Success
01-018-00565,,,Thị trấn Trâu Quỳ,13825102,Success
01-018-00568,,,Xã Dương Quang,13825101,Success
01-018-00571,,,Xã Dương Xá,13825100,Success
01-018-00574,,,Xã Đông Dư,,Failure
01-018-00577,,,Xã Đa Tốn,13825099,Success
01-018-00580,,,Xã Kiêu Kỵ,13825098,Success
01-018-00583,,,Xã Bát Tràng,13817541,Success
01-018-00586,,,Xã Kim Lan,13817540,Success
01-018-00589,,,Xã Văn Đức,13817539,Success
01-019-00000,,Quận Nam Từ Liêm,,9421137,Success
01-019-00592,,,Phường Cầu Diễn,11367524,Success
01-019-00622,,,Phường Xuân Phương,14989991,Success
01-019-00623,,,Phường Phương Canh,11367526,Success
01-019-00625,,,Phường Mỹ Đình 1,11367522,Success
01-019-00626,,,Phường Mỹ Đình 2,11367523,Success
01-019-00628,,,Phường Tây Mỗ,11367520,Success
01-019-00631,,,Phường Mễ Trì,12734019,Success
01-019-00632,,,Phường Phú Đô,11367521,Success
01-019-00634,,,Phường Đại Mỗ,11367519,Success
01-019-00637,,,Phường Trung Văn,11367518,Success
01-020-00000,,Huyện Thanh Trì,,7115709,Success
01-020-00640,,,Thị trấn Văn Điển,13563589,Success
01-020-00643,,,Xã Tân Triều,,Failure
01-020-00646,,,Xã Thanh Liệt,,Failure
01-020-00649,,,Xã Tả Thanh Oai,,Failure
01-020-00652,,,Xã Hữu Hoà,,Failure
01-020-00655,,,Xã Tam Hiệp,,Failure
01-020-00658,,,Xã Tứ Hiệp,,Failure
01-020-00661,,,Xã Yên Mỹ,,Failure
01-020-00664,,,Xã Vĩnh Quỳnh,,Failure
01-020-00667,,,Xã Ngũ Hiệp,,Failure
01-020-00670,,,Xã Duyên Hà,,Failure
01-020-00673,,,Xã Ngọc Hồi,,Failure
01-020-00676,,,Xã Vạn Phúc,,Failure
01-020-00679,,,Xã Đại áng,,Failure
01-020-00682,,,Xã Liên Ninh,,Failure
01-020-00685,,,Xã Đông Mỹ,,Failure
01-021-00000,,Quận Bắc Từ Liêm,,9421138,Success
01-021-00595,,,Phường Thượng Cát,9812307,Success
01-021-00598,,,Phường Liên Mạc,9812306,Success
01-021-00601,,,Phường Đông Ngạc,12212270,Success
01-021-00602,,,Phường Đức Thắng,9812303,Success
01-021-00604,,,Phường Thụy Phương,9812305,Success
01-021-00607,,,Phường Tây Tựu,9812310,Success
01-021-00610,,,Phường Xuân Đỉnh,9812304,Success
01-021-00611,,,Phường Xuân Tảo,9806918,Success
01-021-00613,,,Phường Minh Khai,9812309,Success
01-021-00616,,,Phường Cổ Nhuế 1,9806919,Success
01-021-00617,,,Phường Cổ Nhuế 2,9728555,Success
01-021-00619,,,Phường Phú Diễn,11367525,Success
01-021-00620,,,Phường Phúc Diễn,9812308,Success
01-250-00000,,Huyện Mê Linh,,7114823,Success
01-250-08973,,,Thị trấn Chi Đông,,Failure
01-250-08974,,,Xã Đại Thịnh,,Failure
01-250-08977,,,Xã Kim Hoa,,Failure
01-250-08980,,,Xã Thạch Đà,,Failure
01-250-08983,,,Xã Tiến Thắng,,Failure
01-250-08986,,,Xã Tự Lập,,Failure
01-250-08989,,,Thị trấn Quang Minh,,Failure
01-250-08992,,,Xã Thanh Lâm,,Failure
01-250-08995,,,Xã Tam Đồng,,Failure
